FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
BRAGE,60.58,3.02,2004-04-01T00:00:00.000Z,149720.0,15580.000000000002,716830.0,44053060.0,4142180.0,26479120.0
BRAGE,60.58,3.02,2004-05-01T00:00:00.000Z,149360.0,19800.0,712490.0,44202420.0,4161980.0,27191610.0
BRAGE,60.58,3.02,2004-06-01T00:00:00.000Z,145320.0,18140.0,756960.0000000001,44347740.0,4180120.0,27948570.0
BRAGE,60.58,3.02,2004-07-01T00:00:00.000Z,129080.0,13400.0,727280.0,44476820.0,4193520.0,28675850.0
BRAGE,60.58,3.02,2004-08-01T00:00:00.000Z,124559.99999999999,12190.000000000002,768910.0,44601380.0,4205710.0,29444760.0
BRAGE,60.58,3.02,2004-09-01T00:00:00.000Z,120860.0,17509.999999999996,700920.0,44722240.0,4223220.0,30145680.0
BRAGE,60.58,3.02,2004-10-01T00:00:00.000Z,129350.0,16119.999999999998,745900.0,44851590.0,4239340.0,30891580.0
BRAGE,60.58,3.02,2004-11-01T00:00:00.000Z,120680.0,14730.000000000002,721970.0,44972270.0,4254070.0,31613550.0
BRAGE,60.58,3.02,2004-12-01T00:00:00.000Z,134010.0,17380.0,705330.0,45106280.0,4271450.0,32318880.0
BRAGE,60.58,3.02,2005-01-01T00:00:00.000Z,130920.00000000001,19370.0,791910.0,45237200.0,4290820.0,33110790.0
BRAGE,60.58,3.02,2005-02-01T00:00:00.000Z,105059.99999999999,14819.999999999998,660930.0,45342260.0,4305640.0,33771720.0
BRAGE,60.58,3.02,2005-03-01T00:00:00.000Z,125429.99999999999,20780.0,795930.0,45467690.0,4326420.0,34567650.0
BRAGE,60.58,3.02,2005-04-01T00:00:00.000Z,115380.0,19040.0,739390.0,45583070.0,4345460.0,35307040.0
BRAGE,60.58,3.02,2005-05-01T00:00:00.000Z,150080.0,21759.999999999996,760020.0,45733150.0,4367220.0,36067060.0
BRAGE,60.58,3.02,2005-06-01T00:00:00.000Z,48020.0,5780.0,331910.0,45781170.0,4373000.0,36398970.0
BRAGE,60.58,3.02,2005-07-01T00:00:00.000Z,153270.00000000003,18730.0,795330.0,45934440.0,4391730.0,37194300.0
BRAGE,60.58,3.02,2005-08-01T00:00:00.000Z,146420.0,21220.0,799770.0,46080860.0,4412950.0,37994070.0
BRAGE,60.58,3.02,2005-09-01T00:00:00.000Z,125940.0,18540.0,725130.0,46206800.0,4431490.0,38719200.0
BRAGE,60.58,3.02,2005-10-01T00:00:00.000Z,134940.0,21519.999999999996,808120.0,46341740.0,4453010.0,39527320.0
BRAGE,60.58,3.02,2005-11-01T00:00:00.000Z,121280.0,19950.0,781650.0,46463020.0,4472960.0,40308970.0
BRAGE,60.58,3.02,2005-12-01T00:00:00.000Z,121240.00000000001,20010.0,805860.0,46584260.0,4492970.0,41114830.0
BRAGE,60.58,3.02,2006-01-01T00:00:00.000Z,110750.0,20480.0,787910.0,46695010.0,4513450.0,41902740.0
BRAGE,60.58,3.02,2006-02-01T00:00:00.000Z,100620.0,19570.0,713480.0,46795630.0,4533020.0,42616220.0
BRAGE,60.58,3.02,2006-03-01T00:00:00.000Z,109090.0,21970.0,810470.0,46904720.0,4554990.0,43426690.0
BRAGE,60.58,3.02,2006-04-01T00:00:00.000Z,101480.0,22060.0,775570.0,47006200.0,4577050.0,44202260.0
BRAGE,60.58,3.02,2006-05-01T00:00:00.000Z,88850.0,17269.999999999996,740430.0,47095050.0,4594320.0,44942690.0
BRAGE,60.58,3.02,2006-06-01T00:00:00.000Z,80700.0,16360.0,669460.0,47175750.0,4610680.0,45612150.0
BRAGE,60.58,3.02,2006-07-01T00:00:00.000Z,94310.0,21980.0,784800.0,47270060.0,4632660.0,46396950.0
BRAGE,60.58,3.02,2006-08-01T00:00:00.000Z,58179.99999999999,14130.000000000002,504610.0,47328240.0,4646790.0,46901560.0
BRAGE,60.58,3.02,2006-09-01T00:00:00.000Z,91100.0,20350.0,779650.0,47419340.0,4667140.0,47681210.0
BRAGE,60.58,3.02,2006-10-01T00:00:00.000Z,91850.0,21570.0,784289.9999999999,47511190.0,4688710.0,48465500.0
BRAGE,60.58,3.02,2006-11-01T00:00:00.000Z,84200.0,21610.0,776590.0,47595390.0,4710320.0,49242090.0
BRAGE,60.58,3.02,2006-12-01T00:00:00.000Z,93540.0,22740.0,813940.0,47688930.0,4733060.0,50056030.0
BRAGE,60.58,3.02,2007-01-01T00:00:00.000Z,80930.0,20760.0,715700.0,47769860.0,4753820.0,50771730.0
BRAGE,60.58,3.02,2007-02-01T00:00:00.000Z,79920.0,18570.0,737490.0,47849780.0,4772390.0,51509220.0
BRAGE,60.58,3.02,2007-03-01T00:00:00.000Z,89050.0,21130.0,844920.0000000001,47938830.0,4793520.0,52354140.0
BRAGE,60.58,3.02,2007-04-01T00:00:00.000Z,125790.00000000001,23440.0,698380.0,48064620.0,4816960.0,53052520.0
BRAGE,60.58,3.02,2007-05-01T00:00:00.000Z,112970.0,20860.0,627769.9999999999,48177590.0,4837820.0,53680290.0
BRAGE,60.58,3.02,2007-06-01T00:00:00.000Z,76420.0,13190.0,486089.99999999994,48254010.0,4851010.0,54166380.0
BRAGE,60.58,3.02,2007-07-01T00:00:00.000Z,112040.00000000001,21610.0,801960.0,48366050.0,4872620.0,54968340.0
BRAGE,60.58,3.02,2007-08-01T00:00:00.000Z,105479.99999999999,21350.0,830329.9999999999,48471530.0,4893970.0,55798670.0
BRAGE,60.58,3.02,2007-09-01T00:00:00.000Z,112220.0,30260.000000000004,800200.0,48583750.0,4924230.0,56598870.0
BRAGE,60.58,3.02,2007-10-01T00:00:00.000Z,107820.0,35150.0,843780.0,48691570.0,4959380.0,57442650.0
BRAGE,60.58,3.02,2007-11-01T00:00:00.000Z,97700.0,30210.0,784510.0,48789270.0,4989590.0,58227160.0
BRAGE,60.58,3.02,2007-12-01T00:00:00.000Z,78900.0,22190.0,663920.0,48868170.0,5011780.0,58891080.0
BRAGE,60.58,3.02,2008-01-01T00:00:00.000Z,89120.0,26910.000000000004,751189.9999999999,48957290.0,5038690.0,59642270.0
BRAGE,60.58,3.02,2008-02-01T00:00:00.000Z,96960.0,26619.999999999996,700470.0,49054250.0,5065310.0,60342740.0
BRAGE,60.58,3.02,2008-03-01T00:00:00.000Z,120709.99999999999,33770.0,764600.0,49174960.0,5099080.0,61107340.0
BRAGE,60.58,3.02,2008-04-01T00:00:00.000Z,131750.0,34330.0,717140.0,49306710.0,5133410.0,61824480.0
BRAGE,60.58,3.02,2008-05-01T00:00:00.000Z,138370.0,35230.00000000001,731669.9999999999,49445080.0,5168640.0,62556150.0
BRAGE,60.58,3.02,2008-06-01T00:00:00.000Z,103909.99999999999,23520.0,562700.0,49548990.0,5192160.0,63118850.0
BRAGE,60.58,3.02,2008-07-01T00:00:00.000Z,137540.0,31930.0,643070.0,49686530.0,5224090.0,63761920.0
BRAGE,60.58,3.02,2008-08-01T00:00:00.000Z,146470.00000000003,37080.0,690430.0,49833000.0,5261170.0,64452350.0
BRAGE,60.58,3.02,2008-09-01T00:00:00.000Z,141270.0,35110.0,686410.0000000001,49974270.0,5296280.0,65138760.0
BRAGE,60.58,3.02,2008-10-01T00:00:00.000Z,150640.0,36300.0,733770.0,50124910.0,5332580.0,65872530.0
BRAGE,60.58,3.02,2008-11-01T00:00:00.000Z,136540.00000000003,29470.0,588020.0,50261450.0,5362050.0,66460550.0
BRAGE,60.58,3.02,2008-12-01T00:00:00.000Z,207860.0,42450.0,588130.0,50469310.0,5404500.0,67048680.0
BRAGE,60.58,3.02,2009-01-01T00:00:00.000Z,158950.0,31800.000000000004,489750.0,50628260.0,5436300.0,67538430.0
BRAGE,60.58,3.02,2009-02-01T00:00:00.000Z,160790.00000000003,28170.0,499019.99999999994,50789050.0,5464470.0,68037450.0
BRAGE,60.58,3.02,2009-03-01T00:00:00.000Z,160840.0,30980.0,619930.0,50949890.0,5495450.0,68657380.0
BRAGE,60.58,3.02,2009-04-01T00:00:00.000Z,143750.0,28230.0,606590.0,51093640.0,5523680.0,69263970.0
BRAGE,60.58,3.02,2009-05-01T00:00:00.000Z,146560.0,31039.999999999996,670310.0000000001,51240200.0,5554720.0,69934280.0
BRAGE,60.58,3.02,2009-06-01T00:00:00.000Z,68120.0,13460.0,317980.00000000006,51308320.0,5568180.0,70252260.0
